FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Jay Huff,Lal,C,24.49,4,5.1,10.6,8.5,25,0,0,1,0,2,0,0,0,0,1,10.4,0.3,5.8,0.25,0.25,0.25,0,34,108.3
Jay Scrubb,Lac,G,21.46,18,6.7,14.1,20.7,12.2,10,0.7,25,0.48,21,0.286,0.457,0.486,2.7,0.9,6.9,0.4,9.7,0.22,0.17,0.39,5.9,93,105.6
Jaylen Brown,Bos,G-F,25.32,46,34.3,71.5,30.5,12.1,225,0.773,519,0.532,346,0.353,0.531,0.566,23.7,6.5,10.2,3.3,16.9,1.04,0.33,2.89,9.3,106.5,101
Jaylen Hoard,Okc,F,22.89,1,1.8,3.8,24.1,0,0,0,1,0,0,0,0,0,0,2,56.4,0,0,0,0,0,0,,
Jaylen Morris,San,G,26.42,3,5.3,11.1,23.2,11.4,4,0.5,4,0,2,0,0,0.129,0.7,0.7,6.5,0.7,13.9,0,0,0.33,5.3,39.4,104.2
Jaylen Nowell,Min,G,22.61,42,14.6,30.4,21.3,7,55,0.745,169,0.521,97,0.371,0.534,0.56,7.7,2,7.1,2.1,22,0.55,0.14,0.52,8.7,118.8,108
Jaysean Paige,Det,G,27.56,1,6.6,13.8,25.9,25,0,0,1,0,2,0,0,0,0,1,8.1,1,19.6,0,0,1,0,14.9,85.6
Jayson Tatum,Bos,F-G,23.97,56,36.1,75.2,31.8,11.1,336,0.848,685,0.505,468,0.329,0.5,0.553,25.7,8.4,12.4,4.2,20.3,0.96,0.71,2.89,10.7,108.9,101.1
Jeff Dowtin,Gol,G,24.78,4,6.9,14.4,11,14.3,0,0,5,0.6,1,0,0.5,0.5,1.5,1.8,13.6,0.8,14.9,0,0.25,0.25,7.5,108.7,101.7
Jeff Dowtin,Mil,G,24.78,1,3,6.3,14.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Jeff Green,Den,F,35.48,54,24.5,51.1,16.9,10,139,0.827,266,0.602,130,0.323,0.563,0.614,10.4,3.2,7.2,1.2,7.3,0.33,0.39,0.94,5.6,117.3,106.8
Jemerrio Jones,Lal,F,26.86,2,7.4,15.3,8.8,0,0,0,3,0.667,0,0,0.667,0.667,2,1.5,10.8,0,0,0.5,0,0,0,155.7,100.2
Jerami Grant,Det,F,27.94,33,32.2,67.1,25.9,10.2,184,0.842,327,0.456,171,0.339,0.474,0.541,19,4.3,7.1,2.5,13.5,0.97,1.06,2,7.3,105.8,111.1
Jeremiah Robinson-Earl,Okc,F,21.29,44,23,48,14.8,10.1,42,0.714,142,0.472,150,0.333,0.486,0.506,7.1,5.8,12.7,1,6.6,0.61,0.34,0.8,6,105.3,104.4
Jeremy Lamb,Sac,G-F,29.72,1,30.7,64,18.6,7.5,3,1,3,0.333,8,0.375,0.5,0.568,14,6,10.5,5,22.9,0,2,1,9.8,122.5,114.9
Jeremy Lamb,Ind,G-F,29.72,39,15.7,32.8,20.2,8.4,80,0.838,111,0.414,117,0.333,0.458,0.524,7.1,2.4,8.5,1.3,11.9,0.59,0.36,0.62,7.2,109.9,109.7
Jericho Sims,Nyk,C,23.33,18,6.5,13.5,5.6,13.6,4,0.75,11,0.727,0,0,0.727,0.745,1.1,1.5,12.3,0.1,1.2,0.17,0.39,0.11,3.4,150.3,104.8
Jevon Carter,Bro,G,26.43,46,12,25,16,12.7,10,0.7,47,0.34,127,0.331,0.454,0.462,3.6,1.5,6.5,1,11,0.3,0.22,0.57,5.8,93.4,108.3
Jimmy Butler,Mia,F,32.43,40,34.3,71.5,26.6,10.5,316,0.896,521,0.52,78,0.192,0.49,0.589,21.8,6.5,10.6,6,29,1.75,0.48,2.18,11,124.8,105.8
Jock Landale,San,C,26.32,36,10.2,21.2,18.9,14.1,25,0.84,72,0.597,57,0.351,0.566,0.596,4.6,2.2,11.3,0.9,12,0.19,0.33,0.64,8.2,117.5,107
Joe Harris,Bro,G-F,30.45,14,30.2,62.9,14.6,11.2,6,0.833,36,0.417,88,0.466,0.617,0.624,11.3,4,7.1,1,4.6,0.5,0.14,1.14,4.7,111.6,109.3
Joe Ingles,Uta,F-G,34.38,45,24.9,51.9,13.2,13.5,22,0.773,60,0.617,225,0.347,0.54,0.551,7.2,2.9,6.3,3.5,18.9,0.51,0.11,1.02,6.7,116.4,106.4
Joe Johnson,Bos,G-F,40.65,1,2,4.2,22,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,,
Joe Wieskamp,San,G-F,22.49,15,6.1,12.8,14.8,3.1,7,0.429,9,0.556,19,0.421,0.607,0.595,2.5,0.5,4.5,0.3,7.2,0.13,0.13,0.07,4.7,122.7,111.6
Joel Ayayi,Was,G,21.96,7,2.9,6,13.2,0,0,0,5,0.2,1,0,0.167,0.167,0.3,0.4,8.1,0.6,25.5,0,0,0,5.7,,
Joel Embiid,Phi,C-F,27.93,46,32.9,68.6,37.2,10.9,518,0.813,719,0.524,168,0.369,0.53,0.61,29.6,11.2,18.8,4.5,26.1,1.02,1.46,2.98,13.9,119.4,100.5
John Collins,Atl,F-C,24.41,50,31.3,65.2,20.5,7.7,160,0.794,445,0.591,160,0.388,0.588,0.621,16.8,7.9,13.8,1.9,9.3,0.64,1.08,1.12,8.1,124.7,105.8
John Konchar,Mem,G,25.91,52,18.6,38.7,9.7,9.7,37,0.595,93,0.57,95,0.421,0.601,0.607,4.8,4.4,12.5,1.4,9.5,0.69,0.29,0.42,6.6,130,104.6
Jon Teske,Mem,C,20,3,2.6,5.4,9.9,0,2,0,1,0,0,0,0,0,0,0.7,13.4,0.3,14.4,0.33,0,0,0,,
Jonas Valanciunas,Nor,C,29.79,53,31.3,65.2,23.6,14.5,211,0.825,558,0.572,122,0.385,0.573,0.617,18,11.5,20.3,2.6,14.1,0.47,0.92,2.47,10.4,117.5,102.1
Jonathan Kuminga,Gol,F,19.37,47,14.5,30.1,23,12,110,0.655,181,0.602,87,0.322,0.563,0.591,8,2.8,10.5,0.7,7.6,0.38,0.23,0.91,6.9,109,95.5
Jordan Bell,Chi,F,27.12,1,2,4.2,0,,0,0,0,0,0,0,,,0,1,27.8,0,0,1,0,0,0,,
Jordan Clarkson,Uta,G,29.7,55,26.4,55,27.1,9.6,113,0.832,331,0.514,435,0.32,0.494,0.522,15.5,3.3,6.9,2.4,14.2,0.73,0.24,1.58,7.5,105.6,106.4
Jordan Goodwin,Was,G,23.32,2,3,6.1,22.6,0,0,0,2,0,1,0,0,0,0,0.5,9.3,0,0,0,0,0,0,,
Jordan McLaughlin,Min,G,25.86,41,12.5,26.1,12.7,13.4,31,0.742,75,0.493,47,0.191,0.414,0.457,3,1.3,5.4,2.8,29,0.71,0.07,0.51,7.1,113,111
Jordan Nwora,Mil,F,23.44,46,19.7,41,19.7,10.6,23,0.783,179,0.453,182,0.368,0.503,0.513,8.3,3.7,9.9,1,7.4,0.48,0.28,0.96,6.4,100.1,106.9
Jordan Poole,Gol,G,22.67,53,28.8,60.1,24.8,14.2,166,0.922,306,0.559,367,0.338,0.53,0.581,16.4,3.1,5.8,3.5,18.7,0.81,0.3,2.32,7.8,108.9,101.7
Jordan Schakel,Was,G,23.69,2,7.1,14.8,18.8,0,0,0,3,0,3,0,0,0,0,1.5,11.5,0,0,0,0,0,0,28.6,120
Jose Alvarado,Nor,G,23.86,31,12.8,26.6,18.4,9.5,27,0.741,84,0.5,57,0.316,0.489,0.517,5.1,1.5,6.3,2,24.2,1,0.16,0.52,7.8,112.4,103.3
Josh Christopher,Hou,G,20.2,50,16.5,34.4,20.9,17.1,66,0.773,189,0.534,121,0.322,0.515,0.546,7.4,2.1,7.1,1.7,16.6,0.88,0.14,1.4,7.2,102.6,113.6
Josh Giddey,Okc,G,19.36,53,31.4,65.4,22.3,19.5,78,0.705,445,0.49,210,0.267,0.461,0.478,12.4,7.8,12.6,6.4,33.4,0.92,0.38,3.15,10.9,97.5,106.3
Josh Green,Dal,G,21.26,44,14.4,30,13.5,10.5,35,0.714,116,0.569,39,0.308,0.542,0.566,4.4,2.2,8.3,1.3,13.3,0.66,0.2,0.45,6.5,119.6,97.8
Josh Hart,Por,G,26.96,3,36.5,76,23.3,18.8,17,0.765,19,0.684,21,0.524,0.738,0.758,24,5,7.5,4.3,20,0.67,0.67,3.67,8.8,126.6,110.5
Josh Hart,Nor,G,26.96,41,33.5,69.8,16.8,15.1,154,0.753,256,0.598,130,0.323,0.56,0.604,13.4,7.8,12.8,4.1,18.3,1.1,0.27,1.98,9,117.3,105.2
Josh Jackson,Det,G-F,25.02,39,18.1,37.8,18.9,12.1,56,0.714,138,0.529,113,0.265,0.47,0.501,7.1,3.2,9.4,1.3,11,0.54,0.46,0.97,6.8,97.3,106.5
Josh Jackson,Sac,G-F,25.02,1,3.2,6.7,40.1,33.3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,,
Josh Okogie,Min,G,23.47,33,12.4,25.8,11.1,15.7,37,0.622,39,0.41,36,0.278,0.413,0.466,2.6,1.8,7.8,0.5,5.6,0.52,0.3,0.52,4.3,99.5,106.6
Josh Richardson,Bos,G,28.43,44,24.7,51.5,16.7,9.4,71,0.859,187,0.481,156,0.397,0.534,0.57,9.7,2.8,6.1,1.5,9,0.77,0.52,0.89,5.6,113.1,103
Josh Richardson,San,G,28.43,1,14.2,29.6,11.9,0,0,0,2,0,2,0.5,0.375,0.375,3,0,0,2,17,0,1,0,0,100.9,121.5
Joshua Primo,San,G,19.15,30,15.9,33.1,15.9,15.1,25,0.76,66,0.424,75,0.32,0.454,0.484,4.9,1.7,5.7,1.4,11.2,0.37,0.5,0.9,5.7,97,109.8
Jrue Holiday,Mil,G,31.69,47,33,68.8,23.3,15,116,0.759,453,0.554,214,0.407,0.572,0.593,18.1,4.6,7.4,6.6,31.4,1.45,0.51,2.7,9.9,116.4,107.3
JT Thor,Cha,F,19.48,19,9,18.7,13.2,11.3,12,0.667,18,0.556,24,0.292,0.488,0.518,2.6,1.4,8.3,0.7,9.9,0.32,0.42,0.32,6.1,110.2,105.6
Juan Toscano-Anderson,Gol,F,28.86,56,14.5,30.2,15.4,20.9,57,0.596,129,0.597,73,0.301,0.545,0.559,4.5,2.6,9.8,1.9,18.1,0.7,0.27,1.07,7.8,105.2,96.7
Juancho Hernangomez,Uta,F,26.39,2,2.6,5.3,17.1,50,0,0,0,0,1,1,1.5,1.5,1.5,0,0,0,0,0,0,0.5,0,,
Juancho Hernangomez,San,F,26.39,5,10.1,21.1,8.2,20.5,4,0.75,3,0.667,3,0,0.333,0.451,1.4,3,15.5,0.6,6.9,0.2,0.2,0.4,5.4,105.5,113.9
Juancho Hernangomez,Bos,F,26.39,18,5.3,11.1,17,16.2,9,0.667,9,0.222,18,0.167,0.241,0.307,1.1,1.4,13.9,0.2,4.1,0.22,0.11,0.33,5.1,74.4,100.2
Julius Randle,Nyk,F-C,27.22,57,35.7,74.3,28,15.6,294,0.765,661,0.474,304,0.306,0.469,0.516,19.8,10.2,15.2,5.2,25.3,0.75,0.6,3.54,11.4,102.9,103
Justin Anderson,Cle,F-G,28.25,3,15.5,32.4,11.1,17,4,0.75,2,1,6,0.333,0.625,0.666,4.3,2,7,2,17.4,0.33,0,0.67,6.7,126.3,101.5
Justin Anderson,Ind,F-G,28.25,3,10.1,21,18.9,7.5,3,1,2,0.5,9,0.111,0.227,0.325,2.7,1.3,7.3,1,12.8,0.33,0.33,0.33,6,86.6,101.2
Justin Champagnie,Tor,G-F,20.64,31,8.2,17.2,11.9,9.9,9,1,38,0.526,22,0.409,0.558,0.594,2.5,2.1,13.8,0.3,4.9,0.23,0.13,0.23,5.7,132.3,101.9
Justin Holiday,Ind,F-G,32.87,49,28.9,60.2,16,9.3,41,0.829,122,0.516,336,0.378,0.553,0.568,11,2.8,5.3,1.8,9,0.73,0.37,1,5.3,110.9,111.5
Justin Holiday,Sac,F-G,32.87,4,32.2,67,16.6,12,2,1,14,0.286,29,0.379,0.477,0.49,10.8,2,3.3,2.3,9.7,0.75,1,1.5,4.6,98.2,114.3
Justin Jackson,Pho,F,26.9,6,5.8,12,18.7,6.7,0,0,5,0.4,9,0.333,0.464,0.464,2.2,1.2,10.8,0.3,7.7,0,0,0.17,6.4,96.5,101.7
Justin Jackson,Bos,F,26.9,1,2,4.2,41.3,0,2,1,1,0,0,0,0,0.532,2,0,0,0,0,0,0,0,0,,
Justin Robinson,Det,G,24.35,5,18.2,37.9,16.7,14,6,0.333,7,0.143,21,0.381,0.464,0.457,5.6,1.4,4.1,1.8,14.6,0.2,0.2,1,5.3,91.9,111.8
Justin Robinson,Mil,G,24.35,17,11.6,24.2,14.9,16,2,1,20,0.4,37,0.27,0.404,0.415,2.8,0.8,3.5,1.2,14,0.47,0,0.65,4.8,87,106.2
Justin Robinson,Sac,G,24.35,3,5,10.4,25.7,11.1,0,0,5,0.2,3,0,0.125,0.125,0.7,0.3,3.6,0.7,17.2,0,0,0.33,4.2,37.9,107.9
Justise Winslow,Por,F-G,25.9,6,31.4,65.4,17.6,10.5,12,0.667,42,0.548,21,0.286,0.508,0.527,12,7.3,12.7,3.3,16.1,1.67,0.83,1.33,8.4,111.7,108.3
Justise Winslow,Lac,F-G,25.9,37,13,27,17.8,18.5,41,0.61,112,0.518,29,0.172,0.465,0.49,4.2,3.6,14.4,1.4,15.6,0.57,0.49,0.97,8.5,98.1,99.3
Jusuf Nurkic,Por,C,27.49,56,28.2,58.7,23.7,16.6,268,0.69,544,0.563,56,0.268,0.548,0.586,15,11.1,21.4,2.8,16.3,1.11,0.61,2.55,11,113.2,100.2
Juwan Morgan,Tor,F,24.84,1,27.4,57.1,4.7,0,0,0,1,1,2,0.5,0.833,0.833,5,4,7.9,1,4.8,0,0,0,4,183.9,106.6
Kai Jones,Cha,C-F,21.08,17,2.8,5.8,15.7,28.2,4,0.25,9,0.667,2,0.5,0.682,0.627,0.9,0.5,8.8,0.2,11.7,0,0,0.29,6.4,,
Karl-Anthony Towns,Min,C-F,26.26,52,34.3,71.4,27.4,14.4,309,0.819,598,0.574,269,0.409,0.586,0.633,24.4,9.7,15,4,19.6,1.04,1.12,3.25,11.5,119.4,102.4
Keifer Sykes,Ind,G,28.14,20,19.3,40.2,18.6,15,14,0.857,71,0.408,65,0.308,0.434,0.457,6.5,1.8,5.2,2.2,15.6,0.4,0.15,1.25,6.1,92.8,109.6
Keita Bates-Diop,San,F,26.07,45,16.3,33.9,14.1,12.7,44,0.705,151,0.55,42,0.333,0.539,0.563,5.3,3.9,12.5,0.6,4.8,0.47,0.31,0.69,5.7,109.4,107.6
Kelan Martin,Ind,F,26.55,27,16.4,34.3,18.2,7.5,13,0.692,94,0.511,74,0.297,0.482,0.492,6.3,2,6.6,0.8,6.9,0.48,0.33,0.52,5.3,101.3,110.5
Keldon Johnson,San,F-G,22.36,55,31.3,65.2,20.3,8.6,155,0.748,440,0.491,247,0.425,0.544,0.571,15.7,6,10,1.8,8.2,0.76,0.13,1.29,7.1,111.4,109
Keljin Blevins,Por,G,26.24,12,6.1,12.6,17.9,20.1,2,0,9,0.333,14,0.429,0.522,0.503,2,0.7,6,0.3,8,0,0,0.5,4.9,86.7,114
Kelly Olynyk,Det,F-C,30.84,21,19.9,41.5,24.4,15,51,0.686,107,0.477,74,0.297,0.464,0.499,9.7,4.9,13.1,2.8,23.1,0.9,0.52,1.71,10.3,101.1,102.7
Kelly Oubre Jr.,Cha,F-G,26.2,54,28.5,59.3,23.3,6.5,139,0.676,302,0.57,430,0.34,0.534,0.552,16.2,4.1,7.6,1.1,6,1.17,0.41,1.02,5.9,108.6,107.4
Kemba Walker,Nyk,G,31.78,37,25.6,53.4,20.8,10.7,71,0.845,171,0.444,199,0.367,0.501,0.537,11.6,3,6.2,3.5,22.3,0.7,0.19,1.3,7.7,111.5,111.2
Kenrich Williams,Okc,G-F,27.21,49,21.9,45.6,15.6,11.9,55,0.545,196,0.536,121,0.339,0.525,0.532,7.4,4.5,10.4,2.2,15.8,0.9,0.2,0.94,7.6,111.2,104.7
Kent Bazemore,Lal,G-F,32.64,32,14.4,30.1,13,7.9,17,0.765,54,0.296,67,0.358,0.43,0.455,3.7,1.7,6.3,0.9,8.2,0.66,0.19,0.34,5,98.4,102.2
Kentavious Caldwell-Pope,Was,G,29,55,29.4,61.3,18.1,9.9,79,0.899,275,0.44,284,0.38,0.506,0.536,11.6,3.4,6.4,1.7,8.4,1.07,0.36,1.18,5.5,103.7,110.5
Kenyon Martin Jr.,Hou,F,21.12,55,20,41.6,17.2,9.4,88,0.648,263,0.608,102,0.314,0.57,0.586,8.6,3.9,10.7,1.3,10.4,0.44,0.47,0.76,7,117.3,114.2
Keon Johnson,Lac,G,19.95,15,9,18.7,21.9,10.4,21,0.762,40,0.35,11,0.273,0.363,0.44,3.5,1.4,8.2,0.9,13.8,0.47,0.13,0.47,7.3,95.2,95.6
Kessler Edwards,Bro,F,21.53,28,24.6,51.3,13.3,13.6,10,0.8,89,0.461,91,0.33,0.478,0.488,6.4,4.3,9.3,0.6,3.4,0.79,0.61,1.04,4.1,94.7,107.2
Kevin Durant,Bro,F,33.39,36,36.5,76,31.2,11.3,255,0.894,549,0.568,180,0.372,0.566,0.626,29.3,7.4,10.9,5.8,27.6,0.78,0.94,2.97,11.8,120.1,109.3
Kevin Huerter,Atl,G-F,23.48,51,29,60.5,17.3,11.4,37,0.811,242,0.554,260,0.377,0.56,0.571,11.6,3.2,6,2.8,13.8,0.63,0.35,1.31,6.5,110.8,110.8
Kevin Knox II,Nyk,F,22.52,13,8.5,17.8,19.6,10.1,10,0.7,12,0.417,28,0.357,0.5,0.529,3.6,1.7,10.6,0.2,4.2,0.15,0.08,0.38,5,107,110.4
Kevin Knox II,Atl,F,22.52,8,7.1,14.8,19,8.1,4,0.75,10,0.5,11,0.091,0.31,0.351,2,1.6,12.4,0.6,11.7,0.13,0,0.25,7,86.1,105.8
Kevin Love,Cle,F-C,33.45,50,22.3,46.5,26.3,9.5,158,0.854,212,0.476,321,0.393,0.544,0.593,14.3,7.3,17.9,2.1,15.4,0.34,0.24,1.26,10.8,118.1,100.9
Kevin Pangos,Cle,G,29.06,24,6.9,14.4,14.5,12.8,4,0.75,20,0.45,26,0.231,0.391,0.408,1.6,0.5,3.6,1.3,24.6,0.13,0,0.29,5.9,99.1,106.2
Kevin Porter Jr.,Hou,G-F,21.79,39,30.1,62.7,23.5,20.8,127,0.606,227,0.419,234,0.38,0.496,0.517,13.7,3.9,7.2,6.2,31.7,1.18,0.26,3.49,9.2,99,112
Kevon Looney,Gol,F,26.03,59,21.4,44.6,13.2,14.4,103,0.631,280,0.55,1,0,0.548,0.572,6.3,7.6,19.1,1.7,11.4,0.61,0.73,0.93,8.1,125.1,93.4
Khem Birch,Tor,C,29.39,31,18.7,38.9,11.5,11,46,0.761,110,0.545,8,0,0.508,0.561,5,4.5,13.1,1.1,8.3,0.77,0.48,0.55,6.2,127.9,104.9
Khris Middleton,Mil,F,30.52,48,32.1,66.9,26.6,14.7,216,0.884,415,0.499,306,0.356,0.514,0.571,19.4,5.5,9,5.3,25.4,1.19,0.27,2.94,10.3,110.7,104.6
Killian Hayes,Det,G,20.57,46,24.4,50.9,15.1,19.9,49,0.816,183,0.415,113,0.274,0.414,0.449,6.2,2.9,6.4,4.1,24.5,1.02,0.5,1.72,6.9,93.8,106.3
Killian Tillie,Mem,F-C,23.96,32,13.3,27.8,12.6,8.4,8,0.625,39,0.41,77,0.338,0.474,0.481,3.6,1.7,6.7,0.6,5.9,0.72,0.44,0.34,4.6,105.6,100.6
Kira Lewis Jr.,Nor,G,20.87,24,14.2,29.6,22.5,14.7,12,0.833,88,0.523,58,0.224,0.449,0.466,5.9,1.6,6.3,2,22.6,0.46,0.04,1.08,7.5,94.8,112.1
Klay Thompson,Gol,G,32.03,16,25.3,52.6,29.4,8.1,31,0.935,114,0.465,123,0.374,0.515,0.545,17.1,3.8,8,3.1,20.5,0.63,0.44,1.38,9.3,108,104.1
Kristaps Porzingis,Dal,F-C,26.55,34,29.5,61.4,28.5,8.3,170,0.865,335,0.537,173,0.283,0.499,0.561,19.2,7.7,14.3,2,11.9,0.74,1.74,1.56,9,113.1,99.7
Kyle Anderson,Mem,F-G,28.41,47,21.7,45.3,16.5,11.7,77,0.636,249,0.462,78,0.333,0.471,0.495,7.6,5.2,12.6,2.7,16.3,1.13,0.57,1.02,8.7,107.4,103.3
Kyle Guy,Mia,G,24.52,15,11.7,24.3,19.3,15.7,10,0.7,25,0.48,35,0.4,0.55,0.567,4.9,0.9,4.2,1.1,14.7,0.47,0.07,0.8,5.8,104.4,105.7
Kyle Kuzma,Was,F,26.57,55,33.2,69.1,23.2,13.9,175,0.703,439,0.533,305,0.334,0.52,0.546,16.3,8.8,14.4,3.1,14.5,0.65,0.84,2.42,9.2,103,107.8
Kyle Lowry,Mia,G,35.9,46,34.3,71.4,18.8,20.3,125,0.84,197,0.528,281,0.352,0.528,0.572,13.3,4.6,7.5,7.9,33.9,1.17,0.33,2.96,9.2,113.8,103
Kyrie Irving,Bro,G,29.91,14,36.2,75.4,28.8,10,53,0.925,186,0.495,95,0.368,0.514,0.555,24.1,4.7,7,5.4,24.3,1.07,0.64,2.43,9.4,110.2,109.3
KZ Okpala,Mia,F-G,22.81,21,11.6,24.2,14.3,6.3,11,0.727,43,0.488,26,0.346,0.5,0.521,3.7,2,9.4,0.7,8.3,0.19,0.33,0.24,6,113.5,101.3
Lamar Stevens,Cle,F,24.61,41,14.3,29.8,16.3,10.2,40,0.625,133,0.534,44,0.295,0.511,0.529,5,2.2,8.4,0.6,6.3,0.49,0.22,0.54,5.2,106.2,99.8
LaMarcus Aldridge,Bro,C-F,36.59,39,22.9,47.8,23.2,7.9,83,0.855,367,0.586,39,0.308,0.574,0.607,13.8,5.7,13.5,0.8,6.1,0.33,1.08,0.97,6.9,118.9,106.9
LaMelo Ball,Cha,G,20.49,53,32.7,68.1,27.9,14.6,189,0.857,508,0.467,387,0.367,0.503,0.543,20,7.1,11.4,7.5,35.6,1.55,0.42,3.15,12.5,110.3,104.4
Lance Stephenson,Ind,F,31.46,24,19.7,41.1,24.2,16.5,48,0.813,143,0.545,58,0.259,0.5,0.54,10,3.2,8.9,4.1,32.5,0.63,0.08,1.83,10.3,107.2,106.2
Lance Stephenson,Atl,F,31.46,6,11.6,24.1,11.3,22.4,2,0.5,10,0.5,3,0,0.385,0.396,1.8,2.5,11.8,1.8,20.2,0,0,0.67,6.9,91.4,105.1
Landry Shamet,Pho,G,24.94,45,19.8,41.3,16.3,7.1,54,0.852,88,0.409,201,0.353,0.493,0.529,7.4,1.9,5.1,1.6,10.2,0.47,0.09,0.53,5.7,109.6,106.1
Langston Galloway,Bro,G,30.2,4,14.6,30.3,13.3,27.8,0,0,5,0.6,8,0.25,0.462,0.462,3,2,7.4,1.3,11.1,0,0,1.25,5.4,79.8,108.9
Langston Galloway,Mil,G,30.2,3,16.2,33.7,12.4,7.1,0,0,5,0.2,8,0,0.077,0.077,0.7,3.3,10.9,2.3,17.4,0.33,0,0.33,4.3,55.8,109.2
Larry Nance Jr.,Por,F-C,29.13,37,23.2,48.3,12.5,11,49,0.653,136,0.61,62,0.306,0.563,0.581,6.9,5.6,13.3,2,12.3,1.03,0.35,0.73,7.3,123.7,107.5
Lauri Markkanen,Cle,F-C,24.75,38,30.2,62.9,19,6.3,73,0.863,206,0.539,225,0.342,0.526,0.557,13.6,5.3,9.6,1.5,7.4,0.76,0.55,0.82,6.3,113.7,103.8
Leandro Bolmaro,Min,F,21.44,25,7.5,15.7,10.7,25,9,0.889,20,0.35,12,0.167,0.313,0.389,1.1,1.4,9.8,0.4,7.3,0.2,0,0.48,4.5,87.4,105
LeBron James,Lal,F,37.14,41,36.8,76.6,31.4,11.9,230,0.748,545,0.622,323,0.353,0.588,0.615,29.1,7.9,11.4,6.5,32.1,1.59,0.98,3.2,12.4,117.4,106.3
Lindell Wigginton,Mil,G,23.9,10,10.5,21.8,15.5,15.9,13,0.692,13,0.538,13,0.538,0.673,0.694,4.4,1.5,7.5,0.7,9.3,0.4,0.1,0.6,6.3,121.2,105.1
Lindy Waters III,Okc,F,24.56,3,4.1,8.5,10.6,0,0,0,1,1,2,0.5,0.833,0.833,1.7,0.3,4.1,0,0,0,0,0,0,157.6,99.2
Lonnie Walker IV,San,G-F,23.18,54,22.8,47.5,23.2,8.8,99,0.808,315,0.476,255,0.294,0.461,0.493,11.2,2.6,5.9,2.3,13.9,0.65,0.31,1.09,7.1,99.7,110
Lonzo Ball,Chi,G,24.31,35,34.6,72.2,17.3,17.2,28,0.75,123,0.423,260,0.423,0.567,0.575,13,5.4,8.7,5.1,19.8,1.83,0.89,2.34,8.2,109.8,106.5
Lou Williams,Atl,G,35.31,40,14.7,30.5,22.4,11,56,0.893,158,0.418,84,0.357,0.459,0.51,6.8,1.6,5.9,2,20,0.5,0.08,0.83,7.6,106.3,111.9
Louis King,Sac,F,22.87,10,10.4,21.6,21.2,0,10,0.7,20,0.35,27,0.296,0.404,0.438,4.5,1.2,6.2,0.9,12.5,0.2,0.1,0,6.5,100.4,105.1
Luguentz Dort,Okc,G,22.84,51,32.7,68,23.4,9.8,191,0.843,335,0.487,391,0.332,0.493,0.541,17.2,4.2,6.5,1.7,8.8,0.9,0.35,1.73,6.1,104.6,105
Luka Doncic,Dal,F-G,22.97,44,35.4,73.8,37.1,15.1,320,0.731,589,0.52,364,0.335,0.513,0.554,27.5,9.2,14.2,9,47.4,1.14,0.5,4.41,14.9,108.3,100.5
Luka Garza,Det,C,23.15,29,11.7,24.4,20,10.7,42,0.643,83,0.494,41,0.341,0.5,0.53,5.2,3,13.8,0.6,7.7,0.28,0.14,0.59,7.2,111.8,103.5
Luke Kennard,Lac,G,25.65,50,27.8,57.8,16.5,8.2,52,0.885,151,0.444,306,0.448,0.596,0.616,11.8,3.5,6.6,2.3,12,0.66,0.1,0.86,6.6,118.6,107.9
Luke Kornet,Cle,F-C,26.6,2,7.5,15.5,18.7,0,3,0.667,4,0.25,1,0,0.2,0.316,2,1.5,11,0.5,8.9,0,0.5,0,6.1,96.6,106.6
Luke Kornet,Mil,F-C,26.6,1,3,6.3,14.3,0,0,0,1,0,0,0,0,0,0,1,17.6,0,0,0,0,0,0,,
Luke Kornet,Bos,F-C,26.6,1,8.6,17.9,15.3,0,0,0,2,0,1,0,0,0,0,2,12.4,1,14.3,1,0,0,0,22.8,101.9
Mac McClung,Chi,G,23.12,1,2.6,5.4,33.8,50,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,1,0,,
